Ses03M_impro06_F000 :act 3; :val 3; :dom 5; ()
Ses03M_impro06_F001 :act 3; :val 3; :dom 3; ()
Ses03M_impro06_F002 :act 3; :val 4; :dom 3; ()
Ses03M_impro06_F003 :act 4; :val 3; :dom 2; ()
Ses03M_impro06_F004 :act 4; :val 3; :dom 5; ()
Ses03M_impro06_F005 :act 4; :val 3; :dom 4; ()
Ses03M_impro06_F006 :act 3; :val 3; :dom 2; ()
Ses03M_impro06_F007 :act 4; :val 3; :dom 3; ()
Ses03M_impro06_F008 :act 4; :val 4; :dom 2; ()
Ses03M_impro06_F009 :act 4; :val 3; :dom 3; ()
Ses03M_impro06_F010 :act 4; :val 3; :dom 3; ()
Ses03M_impro06_F011 :act 4; :val 4; :dom 3; ()
Ses03M_impro06_F012 :act 4; :val 4; :dom 2; ()
Ses03M_impro06_F013 :act 4; :val 3; :dom 5; ()
Ses03M_impro06_F014 :act 4; :val 3; :dom 3; ()
Ses03M_impro06_F015 :act 4; :val 4; :dom 4; ()
Ses03M_impro06_F016 :act 4; :val 3; :dom 4; ()
Ses03M_impro06_F017 :act 3; :val 3; :dom 4; ()
Ses03M_impro06_F018 :act 4; :val 3; :dom 3; ()
Ses03M_impro06_F019 :act 3; :val 3; :dom 3; ()
Ses03M_impro06_F020 :act 4; :val 4; :dom 3; ()
