Ses03F_impro04_M000 :act 3; :val 2; :dom 3; ()
Ses03F_impro04_M001 :act 3; :val 3; :dom 4; ()
Ses03F_impro04_M002 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_M003 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_M004 :act 3; :val 3; :dom 2; ()
Ses03F_impro04_M005 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_M006 :act 3; :val 3; :dom 2; ()
Ses03F_impro04_M007 :act 3; :val 2; :dom 4; ()
Ses03F_impro04_M008 :act 3; :val 2; :dom 3; ()
Ses03F_impro04_M009 :act 2; :val 3; :dom 4; ()
Ses03F_impro04_M010 :act 2; :val 3; :dom 4; ()
Ses03F_impro04_M011 :act 3; :val 2; :dom 4; ()
Ses03F_impro04_M012 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_M013 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_M014 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_M015 :act 3; :val 2; :dom 2; ()
Ses03F_impro04_M016 :act 3; :val 1; :dom 3; ()
Ses03F_impro04_M017 :act 3; :val 2; :dom 3; ()
Ses03F_impro04_M018 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_M019 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_M020 :act 2; :val 1; :dom 3; ()
