Ses03M_impro01_F000 :Neutral state; :Overlap; ()
Ses03M_impro01_F001 :Other; :Overlap; (irritated)
Ses03M_impro01_F002 :Disgust; :Overlap; ()
Ses03M_impro01_F003 :Frustration; :Overlap; ()
Ses03M_impro01_F004 :Other; :Overlap; (annoyed)
Ses03M_impro01_F005 :Frustration; :Overlap; ()
Ses03M_impro01_F006 :Anger; :Overlap; ()
Ses03M_impro01_F007 :Frustration; :Anger; :Overlap; ()
Ses03M_impro01_F008 :Frustration; :Overlap; ()
Ses03M_impro01_F009 :Frustration; :Overlap; ()
Ses03M_impro01_F010 :Anger; :Overlap; ()
Ses03M_impro01_F011 :Anger; :Overlap; ()
Ses03M_impro01_F012 :Frustration; :Overlap; ()
Ses03M_impro01_F013 :Fear; :Overlap; ()
Ses03M_impro01_F014 :Anger; :Overlap; ()
Ses03M_impro01_F015 :Anger; :Overlap; ()
Ses03M_impro01_F016 :Frustration; :Overlap; ()
Ses03M_impro01_F017 :Anger; :Overlap; ()
Ses03M_impro01_F018 :Frustration; :Overlap; ()
Ses03M_impro01_F019 :Anger; :Overlap; ()
Ses03M_impro01_F020 :Fear; :Overlap; ()
Ses03M_impro01_F021 :Frustration; :Overlap; ()
Ses03M_impro01_F022 :Frustration; :Overlap; ()
Ses03M_impro01_F023 :Anger; :Overlap; ()
Ses03M_impro01_F024 :Frustration; :Overlap; ()
Ses03M_impro01_F025 :Frustration; :Overlap; ()
