Ses03F_impro01_F000 :Frustration; :Overlap; ()
Ses03F_impro01_F001 :Frustration; :Overlap; ()
Ses03F_impro01_F002 :Other; :Overlap; (anxious)
Ses03F_impro01_F003 :Frustration; :Overlap; ()
Ses03F_impro01_F004 :Other; :Overlap; (irritated)
Ses03F_impro01_F005 :Overlap; :Anger; ()
Ses03F_impro01_F006 :Frustration; :Overlap; ()
Ses03F_impro01_F007 :Frustration; :Overlap; ()
Ses03F_impro01_F008 :Frustration; :Overlap; ()
Ses03F_impro01_F009 :Frustration; :Overlap; ()
Ses03F_impro01_F010 :Frustration; :Overlap; ()
Ses03F_impro01_F011 :Frustration; :Overlap; ()
