Ses03M_impro05b_F000 :act 4; :val 3; :dom 2; ()
Ses03M_impro05b_F001 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F002 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F003 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F004 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F005 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_F006 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F007 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_F008 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_F009 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_F010 :act 2; :val 3; :dom 4; ()
Ses03M_impro05b_F011 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_F012 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F013 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F014 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F015 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_F016 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_F017 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F018 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F019 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F020 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_F021 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_F022 :act 3; :val 3; :dom 4; ()
Ses03M_impro05b_F023 :act 4; :val 3; :dom 4; ()
Ses03M_impro05b_F024 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F025 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F026 :act 4; :val 3; :dom 2; ()
Ses03M_impro05b_F027 :act 3; :val 3; :dom 3; ()
Ses03M_impro05b_F028 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F029 :act 4; :val 3; :dom 2; ()
Ses03M_impro05b_F030 :act 4; :val 3; :dom 3; ()
Ses03M_impro05b_F031 :act 3; :val 3; :dom 2; ()
