Ses03M_impro07_F000 :Happiness; :Overlap; ()
Ses03M_impro07_F001 :Other; :Overlap; (curiosity)
Ses03M_impro07_F002 :Neutral state; :Overlap; ()
Ses03M_impro07_F003 :Excited; :Overlap; ()
Ses03M_impro07_F004 :Surprise; :Overlap; ()
Ses03M_impro07_F005 :Excited; :Overlap; ()
Ses03M_impro07_F006 :Excited; :Overlap; ()
Ses03M_impro07_F007 :Excited; :Overlap; ()
Ses03M_impro07_F008 :Neutral state; :Overlap; ()
Ses03M_impro07_F009 :Other; :Overlap; (curiosity)
Ses03M_impro07_F010 :Neutral state; :Overlap; ()
Ses03M_impro07_F011 :Happiness; :Overlap; ()
Ses03M_impro07_F012 :Excited; :Overlap; ()
Ses03M_impro07_F013 :Excited; :Overlap; ()
Ses03M_impro07_F014 :Neutral state; :Overlap; ()
Ses03M_impro07_F015 :Other; :Overlap; (anxious)
Ses03M_impro07_F016 :Happiness; :Overlap; ()
Ses03M_impro07_F017 :Happiness; :Overlap; ()
Ses03M_impro07_F018 :Excited; :Overlap; ()
Ses03M_impro07_F019 :Happiness; :Overlap; ()
Ses03M_impro07_F020 :Happiness; :Overlap; ()
Ses03M_impro07_F021 :Other; :Overlap; (curiosity)
Ses03M_impro07_F022 :Excited; :Overlap; ()
Ses03M_impro07_F023 :Happiness; :Overlap; ()
