Ses03M_impro03_F000 :act 3; :val 1; :dom 2; ()
Ses03M_impro03_F001 :act 3; :val 1; :dom 1; ()
Ses03M_impro03_F002 :act 1; :val 1; :dom 3; ()
Ses03M_impro03_F003 :act 1; :val 1; :dom 4; ()
Ses03M_impro03_F004 :act 1; :val 1; :dom 3; ()
Ses03M_impro03_F005 :act 3; :val 1; :dom 4; ()
Ses03M_impro03_F006 :act 2; :val 2; :dom 4; ()
Ses03M_impro03_F007 :act 3; :val 2; :dom 2; ()
Ses03M_impro03_F008 :act 2; :val 2; :dom 3; ()
Ses03M_impro03_F009 :act 2; :val 1; :dom 3; ()
Ses03M_impro03_F010 :act 2; :val 1; :dom 3; ()
Ses03M_impro03_F011 :act 3; :val 2; :dom 2; ()
Ses03M_impro03_F012 :act 2; :val 2; :dom 4; ()
Ses03M_impro03_F013 :act 2; :val 3; :dom 4; ()
Ses03M_impro03_F014 :act 2; :val 3; :dom 4; ()
Ses03M_impro03_F015 :act 3; :val 3; :dom 3; ()
Ses03M_impro03_F016 :act 2; :val 3; :dom 4; ()
Ses03M_impro03_F017 :act 1; :val 1; :dom 1; ()
Ses03M_impro03_F018 :act 4; :val 2; :dom 3; ()
Ses03M_impro03_F019 :act 3; :val 1; :dom 1; ()
Ses03M_impro03_F020 :act 2; :val 2; :dom 3; ()
Ses03M_impro03_F021 :act 2; :val 1; :dom 3; ()
Ses03M_impro03_F022 :act 3; :val 2; :dom 2; ()
Ses03M_impro03_F023 :act 1; :val 2; :dom 5; ()
Ses03M_impro03_F024 :act 1; :val 1; :dom 5; ()
Ses03M_impro03_F025 :act 3; :val 1; :dom 1; ()
Ses03M_impro03_F026 :act 2; :val 2; :dom 4; ()
Ses03M_impro03_F027 :act 4; :val 3; :dom 4; ()
Ses03M_impro03_F028 :act 3; :val 3; :dom 1; ()
Ses03M_impro03_F029 :act 1; :val 3; :dom 4; ()
Ses03M_impro03_F030 :act 2; :val 3; :dom 4; ()
Ses03M_impro03_F031 :act 1; :val 3; :dom 4; ()
Ses03M_impro03_F032 :act 1; :val 3; :dom 3; ()
Ses03M_impro03_F033 :act 3; :val 3; :dom 4; ()
Ses03M_impro03_F034 :act 2; :val 3; :dom 4; ()
Ses03M_impro03_F035 :act 2; :val 3; :dom 4; ()
Ses03M_impro03_F036 :act 3; :val 3; :dom 4; ()
Ses03M_impro03_F037 :act 3; :val 3; :dom 2; ()
Ses03M_impro03_F038 :act 1; :val 3; :dom 4; ()
Ses03M_impro03_F039 :act 3; :val 3; :dom 4; ()
Ses03M_impro03_F040 :act 3; :val 3; :dom 4; ()
Ses03M_impro03_F041 :act 2; :val 3; :dom 4; ()
Ses03M_impro03_F042 :act 3; :val 3; :dom 4; ()
