Ses03F_impro04_F000 :act 3; :val 4; :dom 5; ()
Ses03F_impro04_F001 :act 3; :val 4; :dom 4; ()
Ses03F_impro04_F002 :act 3; :val 3; :dom 4; ()
Ses03F_impro04_F003 :act 3; :val 4; :dom 4; ()
Ses03F_impro04_F004 :act 2; :val 3; :dom 3; ()
Ses03F_impro04_F005 :act 2; :val 3; :dom 3; ()
Ses03F_impro04_F006 :act 3; :val 3; :dom 4; ()
Ses03F_impro04_F007 :act 3; :val 4; :dom 4; ()
Ses03F_impro04_F008 :act 2; :val 4; :dom 4; ()
Ses03F_impro04_F009 :act 2; :val 4; :dom 4; ()
Ses03F_impro04_F010 :act 2; :val 3; :dom 4; ()
Ses03F_impro04_F011 :act 2; :val 3; :dom 3; ()
Ses03F_impro04_F012 :act 3; :val 4; :dom 3; ()
Ses03F_impro04_F013 :act 2; :val 3; :dom 3; ()
Ses03F_impro04_F014 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_F015 :act 3; :val 3; :dom 4; ()
Ses03F_impro04_F016 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_F017 :act 3; :val 3; :dom 4; ()
Ses03F_impro04_F018 :act 3; :val 3; :dom 4; ()
Ses03F_impro04_F019 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_F020 :act 3; :val 3; :dom 4; ()
Ses03F_impro04_F021 :act 3; :val 3; :dom 4; ()
Ses03F_impro04_F022 :act 3; :val 3; :dom 4; ()
Ses03F_impro04_F023 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_F024 :act 3; :val 3; :dom 3; ()
Ses03F_impro04_F025 :act 2; :val 3; :dom 3; ()
Ses03F_impro04_F026 :act 2; :val 2; :dom 2; ()
