Ses03F_impro08_F000 :Neutral state; :Overlap; ()
Ses03F_impro08_F001 :Neutral state; :Overlap; ()
Ses03F_impro08_F002 :Other; :Overlap; (sorry)
Ses03F_impro08_F003 :Neutral state; :Overlap; ()
Ses03F_impro08_F004 :Neutral state; :Overlap; ()
Ses03F_impro08_F005 :Neutral state; :Overlap; ()
Ses03F_impro08_F006 :Other; :Overlap; (pleading)
Ses03F_impro08_F007 :Neutral state; :Overlap; ()
Ses03F_impro08_F008 :Neutral state; :Overlap; ()
Ses03F_impro08_F009 :Neutral state; :Overlap; ()
Ses03F_impro08_F010 :Other; :Overlap; (pleading)
Ses03F_impro08_F011 :Neutral state; :Overlap; ()
Ses03F_impro08_F012 :Neutral state; :Overlap; ()
Ses03F_impro08_F013 :Neutral state; :Overlap; ()
Ses03F_impro08_F014 :Neutral state; :Overlap; ()
Ses03F_impro08_F015 :Frustration; :Overlap; ()
Ses03F_impro08_F016 :Frustration; :Overlap; ()
Ses03F_impro08_F017 :Frustration; :Overlap; ()
Ses03F_impro08_F018 :Frustration; :Overlap; ()
Ses03F_impro08_F019 :Other; :Overlap; (annoyed)
Ses03F_impro08_F020 :Neutral state; :Overlap; ()
Ses03F_impro08_F021 :Neutral state; :Overlap; ()
Ses03F_impro08_F022 :Neutral state; :Overlap; ()
Ses03F_impro08_F023 :Other; :Overlap; (sorry)
Ses03F_impro08_F024 :Neutral state; :Overlap; ()
Ses03F_impro08_F025 :Neutral state; :Overlap; ()
Ses03F_impro08_F026 :Other; :Overlap; (concern)
Ses03F_impro08_F027 :Frustration; :Overlap; ()
Ses03F_impro08_F028 :Neutral state; :Overlap; ()
Ses03F_impro08_F029 :Other; :Overlap; (irritated)
