Ses03M_impro08a_F000 :act 2; :val 4; :dom 5; ()
Ses03M_impro08a_F001 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_F002 :act 3; :val 3; :dom 4; ()
Ses03M_impro08a_F003 :act 3; :val 3; :dom 4; ()
Ses03M_impro08a_F004 :act 4; :val 3; :dom 3; ()
Ses03M_impro08a_F005 :act 4; :val 3; :dom 2; ()
Ses03M_impro08a_F006 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F007 :act 1; :val 4; :dom 5; ()
Ses03M_impro08a_F008 :act 1; :val 3; :dom 4; ()
Ses03M_impro08a_F009 :act 1; :val 3; :dom 4; ()
Ses03M_impro08a_F010 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F011 :act 2; :val 3; :dom 3; ()
Ses03M_impro08a_F012 :act 1; :val 3; :dom 4; ()
Ses03M_impro08a_F013 :act 2; :val 3; :dom 4; ()
Ses03M_impro08a_F014 :act 2; :val 3; :dom 3; ()
Ses03M_impro08a_F015 :act 3; :val 3; :dom 4; ()
Ses03M_impro08a_F016 :act 2; :val 4; :dom 3; ()
Ses03M_impro08a_F017 :act 3; :val 4; :dom 3; ()
Ses03M_impro08a_F018 :act 1; :val 4; :dom 5; ()
Ses03M_impro08a_F019 :act 2; :val 3; :dom 3; ()
Ses03M_impro08a_F020 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F021 :act 2; :val 3; :dom 4; ()
Ses03M_impro08a_F022 :act 3; :val 4; :dom 4; ()
Ses03M_impro08a_F023 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F024 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F025 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F026 :act 1; :val 4; :dom 4; ()
Ses03M_impro08a_F027 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F028 :act 2; :val 4; :dom 4; ()
Ses03M_impro08a_F029 :act 3; :val 3; :dom 4; ()
Ses03M_impro08a_F030 :act 3; :val 3; :dom 3; ()
Ses03M_impro08a_F031 :act 1; :val 4; :dom 5; ()
Ses03M_impro08a_F032 :act 1; :val 4; :dom 4; ()
Ses03M_impro08a_F033 :act 3; :val 3; :dom 3; ()
Ses03M_impro08a_F034 :act 1; :val 4; :dom 5; ()
Ses03M_impro08a_F035 :act 2; :val 4; :dom 5; ()
