Ses03M_impro03_M000 :act 3; :val 1; :dom 4; ()
Ses03M_impro03_M001 :act 3; :val 2; :dom 4; ()
Ses03M_impro03_M002 :act 2; :val 1; :dom 3; ()
Ses03M_impro03_M003 :act 1; :val 1; :dom 4; ()
Ses03M_impro03_M004 :act 2; :val 1; :dom 4; ()
Ses03M_impro03_M005 :act 2; :val 1; :dom 3; ()
Ses03M_impro03_M006 :act 3; :val 1; :dom 3; ()
Ses03M_impro03_M007 :act 2; :val 1; :dom 3; ()
Ses03M_impro03_M008 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M009 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M010 :act 2; :val 1; :dom 3; ()
Ses03M_impro03_M011 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M012 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M013 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M014 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M015 :act 2; :val 2; :dom 3; ()
Ses03M_impro03_M016 :act 3; :val 3; :dom 3; ()
Ses03M_impro03_M017 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M018 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M019 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M020 :act 2; :val 2; :dom 3; ()
Ses03M_impro03_M021 :act 3; :val 1; :dom 3; ()
Ses03M_impro03_M022 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M023 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M024 :act 3; :val 2; :dom 4; ()
Ses03M_impro03_M025 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M026 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M027 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M028 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M029 :act 1; :val 1; :dom 3; ()
Ses03M_impro03_M030 :act 3; :val 1; :dom 3; ()
Ses03M_impro03_M031 :act 3; :val 1; :dom 3; ()
Ses03M_impro03_M032 :act 3; :val 1; :dom 3; ()
Ses03M_impro03_M033 :act 3; :val 2; :dom 4; ()
Ses03M_impro03_M034 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M035 :act 1; :val 1; :dom 4; ()
Ses03M_impro03_M036 :act 3; :val 1; :dom 3; ()
Ses03M_impro03_M037 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M038 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M039 :act 3; :val 2; :dom 3; ()
Ses03M_impro03_M040 :act 1; :val 1; :dom 3; ()
