Ses03M_impro01_F000 :act 3; :val 3; :dom 4; ()
Ses03M_impro01_F001 :act 3; :val 3; :dom 4; ()
Ses03M_impro01_F002 :act 2; :val 3; :dom 4; ()
Ses03M_impro01_F003 :act 2; :val 3; :dom 4; ()
Ses03M_impro01_F004 :act 2; :val 3; :dom 5; ()
Ses03M_impro01_F005 :act 2; :val 3; :dom 5; ()
Ses03M_impro01_F006 :act 2; :val 3; :dom 4; ()
Ses03M_impro01_F007 :act 2; :val 3; :dom 4; ()
Ses03M_impro01_F008 :act 2; :val 3; :dom 5; ()
Ses03M_impro01_F009 :act 3; :val 3; :dom 4; ()
Ses03M_impro01_F010 :act 1; :val 4; :dom 5; ()
Ses03M_impro01_F011 :act 1; :val 4; :dom 5; ()
Ses03M_impro01_F012 :act 2; :val 3; :dom 4; ()
Ses03M_impro01_F013 :act 2; :val 3; :dom 4; ()
Ses03M_impro01_F014 :act 2; :val 3; :dom 4; ()
Ses03M_impro01_F015 :act 2; :val 3; :dom 5; ()
Ses03M_impro01_F016 :act 2; :val 3; :dom 4; ()
Ses03M_impro01_F017 :act 2; :val 3; :dom 3; ()
Ses03M_impro01_F018 :act 2; :val 3; :dom 4; ()
Ses03M_impro01_F019 :act 1; :val 3; :dom 4; ()
Ses03M_impro01_F020 :act 3; :val 3; :dom 3; ()
Ses03M_impro01_F021 :act 1; :val 3; :dom 5; ()
Ses03M_impro01_F022 :act 2; :val 3; :dom 5; ()
Ses03M_impro01_F023 :act 1; :val 4; :dom 5; ()
Ses03M_impro01_F024 :act 1; :val 4; :dom 5; ()
Ses03M_impro01_F025 :act 1; :val 4; :dom 5; ()
