Ses03F_impro05_M000 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M001 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M002 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M003 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M004 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M005 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M006 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M007 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M008 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M009 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M010 :act 3; :val 3; :dom 4; ()
Ses03F_impro05_M011 :act 3; :val 2; :dom 4; ()
Ses03F_impro05_M012 :act 3; :val 4; :dom 3; ()
Ses03F_impro05_M013 :act 2; :val 3; :dom 5; ()
Ses03F_impro05_M014 :act 3; :val 3; :dom 3; ()
