Ses03M_impro04_F000 :act 3; :val 3; :dom 4; ()
Ses03M_impro04_F001 :act 4; :val 3; :dom 4; ()
Ses03M_impro04_F002 :act 3; :val 3; :dom 4; ()
Ses03M_impro04_F003 :act 3; :val 3; :dom 2; ()
Ses03M_impro04_F004 :act 4; :val 3; :dom 2; ()
Ses03M_impro04_F005 :act 3; :val 3; :dom 4; ()
Ses03M_impro04_F006 :act 2; :val 3; :dom 4; ()
Ses03M_impro04_F007 :act 4; :val 3; :dom 1; ()
Ses03M_impro04_F008 :act 4; :val 3; :dom 2; ()
Ses03M_impro04_F009 :act 4; :val 3; :dom 3; ()
Ses03M_impro04_F010 :act 3; :val 2; :dom 3; ()
Ses03M_impro04_F011 :act 3; :val 3; :dom 4; ()
Ses03M_impro04_F012 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_F013 :act 3; :val 3; :dom 5; ()
Ses03M_impro04_F014 :act 4; :val 3; :dom 3; ()
Ses03M_impro04_F015 :act 4; :val 3; :dom 3; ()
Ses03M_impro04_F016 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_F017 :act 3; :val 3; :dom 4; ()
Ses03M_impro04_F018 :act 2; :val 3; :dom 4; ()
Ses03M_impro04_F019 :act 2; :val 3; :dom 3; ()
Ses03M_impro04_F020 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_F021 :act 2; :val 3; :dom 3; ()
Ses03M_impro04_F022 :act 3; :val 2; :dom 3; ()
Ses03M_impro04_F023 :act 3; :val 3; :dom 4; ()
Ses03M_impro04_F024 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_F025 :act 3; :val 3; :dom 4; ()
Ses03M_impro04_F026 :act 1; :val 3; :dom 3; ()
Ses03M_impro04_F027 :act 4; :val 3; :dom 4; ()
Ses03M_impro04_F028 :act 3; :val 3; :dom 4; ()
Ses03M_impro04_F029 :act 4; :val 3; :dom 4; ()
Ses03M_impro04_F030 :act 4; :val 3; :dom 4; ()
Ses03M_impro04_F032 :act 3; :val 2; :dom 3; ()
