Ses03M_impro02_F000 :act 3; :val 2; :dom 2; ()
Ses03M_impro02_F001 :act 4; :val 2; :dom 4; ()
Ses03M_impro02_F002 :act 3; :val 2; :dom 4; ()
Ses03M_impro02_F003 :act 4; :val 2; :dom 4; ()
Ses03M_impro02_F004 :act 3; :val 3; :dom 4; ()
Ses03M_impro02_F005 :act 1; :val 4; :dom 4; ()
Ses03M_impro02_F006 :act 3; :val 4; :dom 2; ()
Ses03M_impro02_F007 :act 4; :val 3; :dom 4; ()
Ses03M_impro02_F008 :act 1; :val 4; :dom 5; ()
Ses03M_impro02_F009 :act 3; :val 4; :dom 3; ()
Ses03M_impro02_F010 :act 2; :val 4; :dom 4; ()
Ses03M_impro02_F011 :act 3; :val 4; :dom 2; ()
Ses03M_impro02_F012 :act 3; :val 4; :dom 4; ()
Ses03M_impro02_F013 :act 2; :val 5; :dom 4; ()
Ses03M_impro02_F014 :act 3; :val 5; :dom 3; ()
Ses03M_impro02_F015 :act 4; :val 5; :dom 1; ()
Ses03M_impro02_F016 :act 4; :val 5; :dom 3; ()
Ses03M_impro02_F017 :act 3; :val 4; :dom 4; ()
Ses03M_impro02_F018 :act 4; :val 4; :dom 3; ()
Ses03M_impro02_F019 :act 3; :val 4; :dom 4; ()
Ses03M_impro02_F020 :act 4; :val 4; :dom 2; ()
Ses03M_impro02_F021 :act 3; :val 4; :dom 4; ()
Ses03M_impro02_F022 :act 3; :val 4; :dom 4; ()
Ses03M_impro02_F023 :act 3; :val 4; :dom 4; ()
Ses03M_impro02_F024 :act 2; :val 4; :dom 4; ()
Ses03M_impro02_F025 :act 4; :val 4; :dom 3; ()
Ses03M_impro02_F026 :act 3; :val 4; :dom 4; ()
Ses03M_impro02_F027 :act 4; :val 4; :dom 3; ()
Ses03M_impro02_F028 :act 3; :val 5; :dom 5; ()
Ses03M_impro02_F029 :act 3; :val 4; :dom 4; ()
Ses03M_impro02_F030 :act 3; :val 4; :dom 4; ()
Ses03M_impro02_F031 :act 4; :val 5; :dom 3; ()
Ses03M_impro02_F032 :act 4; :val 4; :dom 3; ()
Ses03M_impro02_F033 :act 2; :val 4; :dom 4; ()
Ses03M_impro02_F034 :act 3; :val 4; :dom 3; ()
Ses03M_impro02_F035 :act 1; :val 4; :dom 4; ()
Ses03M_impro02_F036 :act 2; :val 4; :dom 4; ()
Ses03M_impro02_F037 :act 3; :val 4; :dom 4; ()
