Ses03F_impro05_M000 :Neutral state; :Overlap; ()
Ses03F_impro05_M001 :Neutral state; :Overlap; ()
Ses03F_impro05_M002 :Neutral state; :Overlap; ()
Ses03F_impro05_M003 :Other; :Overlap; (defensive)
Ses03F_impro05_M004 :Neutral state; :Overlap; ()
Ses03F_impro05_M005 :Neutral state; :Overlap; ()
Ses03F_impro05_M006 :Neutral state; :Overlap; ()
Ses03F_impro05_M007 :Neutral state; :Overlap; ()
Ses03F_impro05_M008 :Neutral state; :Overlap; ()
Ses03F_impro05_M009 :Neutral state; :Overlap; ()
Ses03F_impro05_M010 :Overlap; :Surprise; ()
Ses03F_impro05_M011 :Overlap; :Disgust; ()
Ses03F_impro05_M012 :Overlap; :Disgust; ()
Ses03F_impro05_M013 :Neutral state; :Other; :Overlap; (combative)
Ses03F_impro05_M014 :Other; :Overlap; (cocky)
