Ses03F_impro05_F000 :Frustration; :Overlap; ()
Ses03F_impro05_F001 :Frustration; :Overlap; ()
Ses03F_impro05_F002 :Frustration; :Overlap; ()
Ses03F_impro05_F003 :Frustration; :Overlap; ()
Ses03F_impro05_F004 :Other; :Overlap; (annoyed)
Ses03F_impro05_F005 :Frustration; :Overlap; ()
Ses03F_impro05_F006 :Frustration; :Overlap; ()
Ses03F_impro05_F007 :Frustration; :Overlap; ()
Ses03F_impro05_F008 :Anger; :Overlap; ()
Ses03F_impro05_F009 :Anger; :Overlap; ()
Ses03F_impro05_F010 :Other; :Overlap; (annoyed)
Ses03F_impro05_F011 :Frustration; :Overlap; ()
Ses03F_impro05_F012 :Frustration; :Overlap; ()
Ses03F_impro05_F013 :Other; :Overlap; (annoyed)
Ses03F_impro05_F014 :Anger; :Overlap; ()
Ses03F_impro05_F015 :Frustration; :Overlap; ()
Ses03F_impro05_F016 :Anger; :Overlap; ()
Ses03F_impro05_F017 :Frustration; :Overlap; ()
