Ses03F_impro01_M000 :act 3; :val 4; :dom 3; ()
Ses03F_impro01_M001 :act 3; :val 3; :dom 3; ()
Ses03F_impro01_M002 :act 3; :val 3; :dom 3; ()
Ses03F_impro01_M003 :act 3; :val 3; :dom 3; ()
Ses03F_impro01_M004 :act 3; :val 3; :dom 3; ()
Ses03F_impro01_M005 :act 3; :val 3; :dom 3; ()
Ses03F_impro01_M006 :act 3; :val 3; :dom 3; ()
Ses03F_impro01_M007 :act 2; :val 4; :dom 4; ()
Ses03F_impro01_M008 :act 3; :val 3; :dom 4; ()
Ses03F_impro01_M009 :act 2; :val 4; :dom 4; ()
Ses03F_impro01_M010 :act 3; :val 4; :dom 3; ()
Ses03F_impro01_M011 :act 1; :val 4; :dom 4; ()
