Ses03F_impro07_M000 :Excited; :Overlap; ()
Ses03F_impro07_M001 :Overlap; :Happiness; ()
Ses03F_impro07_M002 :Excited; :Overlap; ()
Ses03F_impro07_M003 :Other; :Overlap; (mischeivious)
Ses03F_impro07_M004 :Other; :Overlap; (mischeivious)
Ses03F_impro07_M005 :Overlap; :Surprise; ()
Ses03F_impro07_M006 :Other; :Overlap; (witty)
Ses03F_impro07_M007 :Excited; :Overlap; ()
Ses03F_impro07_M008 :Overlap; :Happiness; ()
Ses03F_impro07_M009 :Overlap; :Surprise; ()
Ses03F_impro07_M010 :Overlap; :Surprise; ()
Ses03F_impro07_M011 :Overlap; :Happiness; ()
Ses03F_impro07_M012 :Neutral state; :Overlap; :Happiness; ()
Ses03F_impro07_M013 :Overlap; :Happiness; ()
Ses03F_impro07_M014 :Excited; :Overlap; ()
Ses03F_impro07_M015 :Excited; :Overlap; ()
Ses03F_impro07_M016 :Overlap; :Happiness; ()
Ses03F_impro07_M017 :Overlap; :Happiness; ()
Ses03F_impro07_M018 :Overlap; :Happiness; ()
Ses03F_impro07_M019 :Overlap; :Happiness; ()
Ses03F_impro07_M020 :Overlap; :Happiness; ()
Ses03F_impro07_M021 :Other; :Overlap; (pride)
Ses03F_impro07_M022 :Other; :Overlap; (cocky)
Ses03F_impro07_M023 :Overlap; :Disgust; ()
Ses03F_impro07_M024 :Overlap; :Disgust; :Happiness; ()
Ses03F_impro07_M025 :Neutral state; :Overlap; :Happiness; ()
Ses03F_impro07_M026 :Excited; :Overlap; ()
Ses03F_impro07_M027 :Overlap; :Happiness; ()
Ses03F_impro07_M028 :Other; :Overlap; (playful)
Ses03F_impro07_M029 :Excited; :Overlap; ()
Ses03F_impro07_M030 :Excited; :Overlap; ()
Ses03F_impro07_M031 :Overlap; :Happiness; ()
Ses03F_impro07_M032 :Excited; :Overlap; ()
Ses03F_impro07_M033 :Other; :Overlap; (playful)
Ses03F_impro07_M034 :Other; :Overlap; (playful)
