Ses03M_impro04_M000 :act 5; :val 5; :dom 2; ()
Ses03M_impro04_M001 :act 2; :val 5; :dom 3; ()
Ses03M_impro04_M002 :act 2; :val 4; :dom 3; ()
Ses03M_impro04_M003 :act 2; :val 4; :dom 4; ()
Ses03M_impro04_M004 :act 2; :val 4; :dom 3; ()
Ses03M_impro04_M005 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M006 :act 2; :val 4; :dom 4; ()
Ses03M_impro04_M007 :act 2; :val 4; :dom 4; ()
Ses03M_impro04_M008 :act 2; :val 4; :dom 4; ()
Ses03M_impro04_M009 :act 3; :val 4; :dom 3; ()
Ses03M_impro04_M010 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M011 :act 3; :val 4; :dom 3; ()
Ses03M_impro04_M012 :act 1; :val 4; :dom 3; ()
Ses03M_impro04_M013 :act 2; :val 4; :dom 3; ()
Ses03M_impro04_M014 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M015 :act 3; :val 4; :dom 3; ()
Ses03M_impro04_M016 :act 1; :val 5; :dom 3; ()
Ses03M_impro04_M017 :act 2; :val 4; :dom 4; ()
Ses03M_impro04_M018 :act 3; :val 4; :dom 3; ()
Ses03M_impro04_M019 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M020 :act 3; :val 4; :dom 3; ()
Ses03M_impro04_M021 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M022 :act 3; :dom 3; ()
Ses03M_impro04_M023 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M024 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M025 :act 2; :val 4; :dom 4; ()
Ses03M_impro04_M026 :act 4; :val 4; :dom 2; ()
Ses03M_impro04_M027 :act 3; :val 4; :dom 4; ()
Ses03M_impro04_M028 :act 3; :val 4; :dom 4; ()
Ses03M_impro04_M029 :act 1; :val 5; :dom 5; ()
Ses03M_impro04_M030 :act 3; :val 4; :dom 3; ()
Ses03M_impro04_M031 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M032 :act 3; :val 4; :dom 3; ()
Ses03M_impro04_M033 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M034 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M035 :act 3; :val 4; :dom 3; ()
Ses03M_impro04_M036 :act 2; :val 5; :dom 3; ()
Ses03M_impro04_M037 :act 3; :val 4; :dom 3; ()
Ses03M_impro04_M038 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M039 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M040 :act 3; :val 3; :dom 3; ()
Ses03M_impro04_M041 :act 3; :val 3; :dom 3; ()
