Ses03F_impro01_M000 :Neutral state; :Overlap; ()
Ses03F_impro01_M001 :Neutral state; :Overlap; ()
Ses03F_impro01_M002 :Neutral state; :Overlap; ()
Ses03F_impro01_M003 :Neutral state; :Overlap; ()
Ses03F_impro01_M004 :Neutral state; :Overlap; ()
Ses03F_impro01_M005 :Neutral state; :Overlap; ()
Ses03F_impro01_M006 :Neutral state; :Overlap; ()
Ses03F_impro01_M007 :Frustration; :Neutral state; :Overlap; ()
Ses03F_impro01_M008 :Neutral state; :Overlap; ()
Ses03F_impro01_M009 :Overlap; :Anger; ()
Ses03F_impro01_M010 :Overlap; :Disgust; ()
Ses03F_impro01_M011 :Overlap; :Anger; ()
