Ses01M_script03_2_F000 :act 4; :val 2; :dom 3; ()
Ses01M_script03_2_F001 :act 3; :val 2; :dom 3; ()
Ses01M_script03_2_F002 :act 4; :val 2; :dom 3; ()
Ses01M_script03_2_F003 :act 2; :val 1; :dom 4; ()
Ses01M_script03_2_F004 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_F005 :act 4; :val 3; :dom 4; ()
Ses01M_script03_2_F006 :act 4; :val 3; :dom 3; ()
Ses01M_script03_2_F007 :act 3; :val 2; :dom 4; ()
Ses01M_script03_2_F008 :act 3; :val 3; :dom 4; ()
Ses01M_script03_2_F009 :act 2; :val 4; :dom 4; ()
Ses01M_script03_2_F010 :act 4; :val 3; :dom 3; ()
Ses01M_script03_2_F011 :act 4; :val 4; :dom 3; ()
Ses01M_script03_2_F012 :act 2; :val 4; :dom 4; ()
Ses01M_script03_2_F013 :act 3; :val 4; :dom 3; ()
Ses01M_script03_2_F014 :act 3; :val 4; :dom 3; ()
Ses01M_script03_2_F015 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_F016 :act 4; :val 3; :dom 4; ()
Ses01M_script03_2_F017 :act 3; :val 2; :dom 4; ()
Ses01M_script03_2_F018 :act 4; :val 3; :dom 3; ()
Ses01M_script03_2_F019 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_F020 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_F021 :act 4; :val 3; :dom 4; ()
Ses01M_script03_2_F022 :act 3; :val 4; :dom 3; ()
Ses01M_script03_2_F023 :act 2; :val 4; :dom 5; ()
Ses01M_script03_2_F024 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_F025 :act 3; :val 4; :dom 3; ()
Ses01M_script03_2_F026 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_F027 :act 4; :val 4; :dom 4; ()
Ses01M_script03_2_F028 :act 3; :val 2; :dom 4; ()
Ses01M_script03_2_F029 :act 3; :val 3; :dom 4; ()
Ses01M_script03_2_F030 :act 3; :val 4; :dom 4; ()
Ses01M_script03_2_F031 :act 4; :val 3; :dom 3; ()
Ses01M_script03_2_F032 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_F033 :act 3; :val 2; :dom 4; ()
Ses01M_script03_2_F034 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_F035 :act 2; :val 3; :dom 4; ()
Ses01M_script03_2_F036 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_F037 :act 3; :val 3; :dom 3; ()
Ses01M_script03_2_F038 :act 2; :val 4; :dom 4; ()
Ses01M_script03_2_F039 :act 2; :val 5; :dom 5; ()
Ses01M_script03_2_F040 :act 3; :val 5; :dom 4; ()
Ses01M_script03_2_F041 :act 1; :val 5; :dom 5; ()
