Ses01F_impro03_F000 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_F001 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_F002 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_F003 :act 3; :val 1; :dom 1; ()
Ses01F_impro03_F004 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_F005 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_F006 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_F007 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_F008 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_F009 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_F010 :act 3; :val 2; :dom 2; ()
Ses01F_impro03_F011 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_F012 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_F013 :act 3; :val 1; :dom 1; ()
Ses01F_impro03_F014 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_F015 :act 4; :val 1; :dom 1; ()
Ses01F_impro03_F016 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_F017 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_F018 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_F019 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_F020 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_F021 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_F022 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_F023 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_F024 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_F025 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_F026 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_M000 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_M001 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_M002 :act 3; :val 2; :dom 2; ()
Ses01F_impro03_M003 :act 2; :val 1; :dom 1; ()
Ses01F_impro03_M004 :act 3; :val 1; :dom 1; ()
Ses01F_impro03_M005 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_M006 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_M007 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_M008 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_M009 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_M010 :act 3; :val 2; :dom 2; ()
Ses01F_impro03_M011 :act 3; :val 2; :dom 2; ()
Ses01F_impro03_M012 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_M013 :act 3; :val 1; :dom 2; ()
Ses01F_impro03_M014 :act 3; :val 1; :dom 2; ()
Ses01F_impro03_M015 :act 4; :val 2; :dom 1; ()
Ses01F_impro03_M016 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_M017 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_M018 :act 4; :val 3; :dom 1; ()
Ses01F_impro03_M019 :act 4; :val 3; :dom 1; ()
Ses01F_impro03_M020 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_M021 :act 3; :val 3; :dom 2; ()
Ses01F_impro03_M022 :act 3; :val 2; :dom 1; ()
Ses01F_impro03_M023 :act 3; :val 1; :dom 2; ()
Ses01F_impro03_M024 :act 4; :val 2; :dom 1; ()
