Ses02M_impro04_F000 :Other; :Overlap; (concern)
Ses02M_impro04_F001 :Other; :Overlap; (concern)
Ses02M_impro04_F002 :Neutral state; :Overlap; ()
Ses02M_impro04_F003 :Other; :Overlap; (supportive)
Ses02M_impro04_F004 :Other; :Overlap; (concern)
Ses02M_impro04_F005 :Sadness; :Overlap; ()
Ses02M_impro04_F006 :Other; :Overlap; (hope)
Ses02M_impro04_F007 :Neutral state; :Overlap; ()
Ses02M_impro04_F008 :Other; :Overlap; (supportive)
Ses02M_impro04_F009 :Sadness; :Overlap; ()
Ses02M_impro04_F010 :Neutral state; :Overlap; ()
Ses02M_impro04_F011 :Neutral state; :Overlap; ()
Ses02M_impro04_F012 :Other; :Overlap; (concern)
Ses02M_impro04_F013 :Other; :Overlap; (hope)
Ses02M_impro04_F014 :Other; :Overlap; (concern)
Ses02M_impro04_F015 :Neutral state; :Overlap; ()
Ses02M_impro04_F016 :Frustration; :Overlap; ()
Ses02M_impro04_F017 :Other; :Overlap; (concern)
