Ses02M_impro05_F000 :Neutral state; :Overlap; ()
Ses02M_impro05_F001 :Neutral state; :Overlap; ()
Ses02M_impro05_F002 :Neutral state; :Overlap; ()
Ses02M_impro05_F003 :Neutral state; :Overlap; ()
Ses02M_impro05_F004 :Neutral state; :Overlap; ()
Ses02M_impro05_F005 :Neutral state; :Overlap; ()
Ses02M_impro05_F006 :Neutral state; :Overlap; :Surprise; ()
Ses02M_impro05_F007 :Neutral state; :Overlap; ()
Ses02M_impro05_F008 :Neutral state; :Overlap; ()
Ses02M_impro05_F009 :Neutral state; :Overlap; ()
Ses02M_impro05_F010 :Neutral state; :Overlap; ()
Ses02M_impro05_F011 :Neutral state; :Overlap; ()
Ses02M_impro05_F012 :Frustration; :Overlap; ()
Ses02M_impro05_F013 :Neutral state; :Overlap; ()
Ses02M_impro05_F014 :Neutral state; :Overlap; ()
Ses02M_impro05_F015 :Neutral state; :Overlap; ()
Ses02M_impro05_F016 :Neutral state; :Overlap; ()
Ses02M_impro05_F017 :Frustration; :Overlap; ()
Ses02M_impro05_F018 :Neutral state; :Overlap; ()
Ses02M_impro05_F019 :Neutral state; :Overlap; ()
Ses02M_impro05_F020 :Frustration; :Overlap; ()
Ses02M_impro05_F021 :Frustration; :Overlap; ()
Ses02M_impro05_F022 :Frustration; :Overlap; ()
Ses02M_impro05_F023 :Neutral state; :Overlap; ()
Ses02M_impro05_F024 :Neutral state; :Overlap; ()
Ses02M_impro05_F025 :Frustration; :Overlap; ()
Ses02M_impro05_F026 :Frustration; :Overlap; ()
Ses02M_impro05_F027 :Neutral state; :Overlap; ()
Ses02M_impro05_F028 :Frustration; :Overlap; ()
Ses02M_impro05_F029 :Frustration; :Overlap; ()
Ses02M_impro05_F030 :Frustration; :Overlap; ()
