Ses02M_impro07_F000 :Overlap; :Happiness; ()
Ses02M_impro07_F001 :Overlap; :Happiness; ()
Ses02M_impro07_F002 :Overlap; :Surprise; ()
Ses02M_impro07_F003 :Excited; :Overlap; ()
Ses02M_impro07_F004 :Excited; :Overlap; ()
Ses02M_impro07_F005 :Overlap; :Surprise; ()
Ses02M_impro07_F006 :Excited; :Overlap; ()
Ses02M_impro07_F007 :Overlap; :Happiness; ()
Ses02M_impro07_F008 :Overlap; :Happiness; ()
Ses02M_impro07_F009 :Overlap; :Happiness; ()
Ses02M_impro07_F010 :Excited; :Overlap; ()
Ses02M_impro07_F011 :Overlap; :Happiness; ()
Ses02M_impro07_F012 :Overlap; :Happiness; ()
Ses02M_impro07_F013 :Overlap; :Happiness; ()
Ses02M_impro07_F014 :Excited; :Overlap; ()
Ses02M_impro07_F015 :Overlap; :Happiness; ()
Ses02M_impro07_F016 :Neutral state; :Overlap; ()
Ses02M_impro07_F017 :Neutral state; :Overlap; ()
Ses02M_impro07_F018 :Overlap; :Happiness; ()
Ses02M_impro07_F019 :Neutral state; :Overlap; ()
Ses02M_impro07_F020 :Neutral state; :Overlap; ()
Ses02M_impro07_F021 :Neutral state; :Overlap; ()
Ses02M_impro07_F022 :Excited; :Overlap; ()
Ses02M_impro07_F023 :Excited; :Overlap; ()
Ses02M_impro07_F024 :Overlap; :Happiness; ()
Ses02M_impro07_F025 :Overlap; :Happiness; ()
Ses02M_impro07_F026 :Overlap; :Happiness; ()
Ses02M_impro07_F027 :Neutral state; :Overlap; ()
Ses02M_impro07_F028 :Overlap; :Happiness; ()
Ses02M_impro07_F029 :Overlap; :Happiness; ()
