Ses02F_impro02_F000 :act 4; :val 3; :dom 2; ()
Ses02F_impro02_F001 :act 3; :val 3; :dom 2; ()
Ses02F_impro02_F002 :act 3; :val 2; :dom 3; ()
Ses02F_impro02_F003 :act 4; :val 4; :dom 2; ()
Ses02F_impro02_F004 :act 4; :val 3; :dom 2; ()
Ses02F_impro02_F005 :act 4; :val 2; :dom 1; ()
Ses02F_impro02_F006 :act 3; :val 4; :dom 3; ()
Ses02F_impro02_F007 :act 4; :val 4; :dom 2; ()
Ses02F_impro02_F008 :act 3; :val 5; :dom 3; ()
Ses02F_impro02_F009 :act 4; :val 2; :dom 1; ()
Ses02F_impro02_F010 :act 3; :val 4; :dom 4; ()
Ses02F_impro02_F011 :act 3; :val 4; :dom 3; ()
Ses02F_impro02_F012 :act 4; :val 4; :dom 3; ()
Ses02F_impro02_F013 :act 2; :val 5; :dom 4; (first half is act 2 and dom 4, second half is act 3/dom2)
